事業成果,年度,分野,url,研究者
基盤事業の成果,"2021年度更新
研究開発戦略センター（CRDS）
アジア・太平洋総合研究センター（APRC）
低炭素社会戦略センター（LCS）
",相互理解の促進、科学技術協力加速の基盤整備,https://www.jst.go.jp/seika/bt2020-10.html,
基盤事業の成果,"2021年度更新
研究開発戦略センター（CRDS）
アジア・太平洋総合研究センター（APRC）
低炭素社会戦略センター（LCS）
",低炭素社会実現のための社会シナリオ・戦略を提案,https://www.jst.go.jp/seika/bt2018-11.html,
基盤事業の成果,"2021年度更新
情報基盤事業部・情報企画部
バイオサイエンスデータベースセンター（NBDC）
",情報基盤強化と日本の研究成果の発信,https://www.jst.go.jp/seika/bt143-144.html,
基盤事業の成果,"2021年度更新
情報基盤事業部・情報企画部
バイオサイエンスデータベースセンター（NBDC）
",生命科学データのより深い利活用のための研究開発,https://www.jst.go.jp/seika/bt145-146.html,
基盤事業の成果,"2021年度更新
理数学習推進部
日本科学未来館
監査・法務部　研究公正課
「科学と社会」推進部
科学技術イノベーション人材育成部
さくらサイエンスプログラム推進本部
",次世代人材の育成,https://www.jst.go.jp/seika/bt147-148.html,
基盤事業の成果,"2021年度更新
理数学習推進部
日本科学未来館
監査・法務部　研究公正課
「科学と社会」推進部
科学技術イノベーション人材育成部
さくらサイエンスプログラム推進本部
",科学技術と社会を結ぶ,https://www.jst.go.jp/seika/bt151-152.html,
基盤事業の成果,"2021年度更新
理数学習推進部
日本科学未来館
監査・法務部　研究公正課
「科学と社会」推進部
科学技術イノベーション人材育成部
さくらサイエンスプログラム推進本部
",研究倫理教育の高度化支援,https://www.jst.go.jp/seika/bt2019-12.html,
基盤事業の成果,"2021年度更新
理数学習推進部
日本科学未来館
監査・法務部　研究公正課
「科学と社会」推進部
科学技術イノベーション人材育成部
さくらサイエンスプログラム推進本部
",未来の共創に向けた社会との対話・協働,https://www.jst.go.jp/seika/bt149-150.html,
基盤事業の成果,"2021年度更新
理数学習推進部
日本科学未来館
監査・法務部　研究公正課
「科学と社会」推進部
科学技術イノベーション人材育成部
さくらサイエンスプログラム推進本部
",プログラム・マネージャー（PM）の育成,https://www.jst.go.jp/seika/bt2019-11.html,
基盤事業の成果,"2021年度更新
理数学習推進部
日本科学未来館
監査・法務部　研究公正課
「科学と社会」推進部
科学技術イノベーション人材育成部
さくらサイエンスプログラム推進本部
",新たな時代の社会を担う世界の優れた人材を日本に招へい,https://www.jst.go.jp/seika/bt2020-11.html,
